frequency,tmag,tphase
501187234,-61.5159199,-295.744207
562341325,-61.9855871,-301.12664
630957344,-62.3971271,-306.236729
707945784,-62.7532466,-311.055885
794328235,-63.0577613,-315.569423
891250938,-63.3152815,-319.767963
1000000000,-63.5308681,-323.648061
1122018450,-63.7097113,-327.212111
1258925410,-63.8568644,-330.467706
1412537540,-63.9770496,-333.426663
1584893190,-64.0745351,-336.10393
1778279410,-64.1530752,-338.516521
1995262310,-64.2158964,-340.682578
2238721140,-64.2657169,-342.620606
2511886430,-64.3047842,-344.34889
2818382930,-64.3349234,-345.88509
3162277660,-64.3575863,-347.245975
3548133890,-64.3739001,-348.447294
3981071710,-64.3847115,-349.503729
4466835920,-64.3906259,-350.428949
5011872340,-64.3920441,-351.235709
5623413250,-64.3891957,-351.936011
6309573440,-64.3821742,-352.541292
7079457840,-64.3709744,-353.062632
7943282350,-64.3555364,-353.510953
8912509380,-64.3357967,-353.897176
10000000000,-64.3117474,-354.232296
11220184500,-64.2834986,-354.527327
12589254100,-64.2513362,-354.793082
14125375400,-64.2157642,-355.039788
15848931900,-64.1775168,-355.276572
17782794100,-64.1375327,-355.510902
19952623100,-64.0968873,-355.748136
22387211400,-64.0566961,-355.991274
25118864300,-64.0180057,-356.24102
28183829300,-63.981698,-356.49613
31622776600,-63.9484259,-356.753971
35481338900,-63.918588,-357.011153
39810717100,-63.8923413,-357.264126
44668359200,-63.8696393,-357.509632
50118723400,-63.8502843,-357.744997
56234132500,-63.8339801,-357.968258
63095734400,-63.8203786,-358.178176
70794578400,-63.8091153,-358.374163
79432823500,-63.7998347,-358.556173
89125093800,-63.7922044,-358.724581
100000000000,-63.7859228,-358.880065
112201845000,-63.7807195,-359.023513
125892541000,-63.7763527,-359.155941
141253754000,-63.7726029,-359.278441
158489319000,-63.769265,-359.392143
177827941000,-63.7661387,-359.498212
199526231000,-63.7630174,-359.597856
223872114000,-63.7596765,-359.692377
251188643000,-63.7558622,-359.783256
281838293000,-63.7512814,-359.872286
316227766000,-63.7455963,-359.961768
354813389000,-63.7384274,-360.054759
398107171000,-63.72937,-360.155389
446683592000,-63.7180308,-360.269217
501187234000,-63.7040915,-360.403595
562341325000,-63.6874074,-360.567972
630957344000,-63.6681423,-360.774048
707945784000,-63.6469434,-361.035658
794328235000,-63.6251455,-361.368208
891250938000,-63.6049859,-361.787532
1000000000000,-63.5897952,-362.308006
