v-sweep,i(Vout),v(V1),v(V2)
0.7407,-0.000000742269105,0.7407,0.9
0.7408,-0.000000742209876,0.7408,0.9
0.7409,-0.000000742150451,0.7409,0.9
0.741,-0.000000742090986,0.741,0.9
0.7411,-0.000000742031228,0.7411,0.9
0.7412,-0.000000741971503,0.7412,0.9
0.7413,-0.000000741911579,0.7413,0.9
0.7414,-0.000000741851366,0.7414,0.9
0.7415,-0.000000741791036,0.7415,0.9
0.7416,-0.000000741730659,0.7416,0.9
0.7417,-0.000000741670041,0.7417,0.9
0.7418,-0.000000741609211,0.7418,0.9
0.7419,-0.000000741548339,0.7419,0.9
0.742,-0.000000741487231,0.742,0.9
0.7421,-0.000000741426,0.7421,0.9
0.7422,-0.000000741364552,0.7422,0.9
0.7423,-0.000000741303001,0.7423,0.9
0.7424,-0.000000741241237,0.7424,0.9
0.7425,-0.00000074117937,0.7425,0.9
0.7426,-0.000000741117383,0.7426,0.9
0.7427,-0.000000741055189,0.7427,0.9
0.7428,-0.000000740992764,0.7428,0.9
0.7429,-0.000000740930309,0.7429,0.9
0.743,-0.000000740867527,0.743,0.9
0.7431,-0.000000740804685,0.7431,0.9
0.7432,-0.000000740741678,0.7432,0.9
0.7433,-0.000000740678511,0.7433,0.9
0.7434,-0.000000740615206,0.7434,0.9
0.7435,-0.000000740551551,0.7435,0.9
0.7436,-0.000000740487975,0.7436,0.9
0.7437,-0.000000740424095,0.7437,0.9
0.7438,-0.000000740360019,0.7438,0.9
0.7439,-0.000000740295969,0.7439,0.9
0.744,-0.000000740231581,0.744,0.9
0.7441,-0.000000740167089,0.7441,0.9
0.7442,-0.000000740102386,0.7442,0.9
0.7443,-0.000000740037549,0.7443,0.9
0.7444,-0.000000739972574,0.7444,0.9
0.7445,-0.000000739907394,0.7445,0.9
0.7446,-0.000000739841946,0.7446,0.9
0.7447,-0.000000739776508,0.7447,0.9
0.7448,-0.000000739710819,0.7448,0.9
0.7449,-0.000000739644955,0.7449,0.9
